label	uid	rank
Новинки Музыки 2018	27895931	0
Киномания | Новинки кино 2017	43215063	1
ПРИКОЛЫ | Смеяка	45441631	2
Смейся до слёз :D	26419239	3
Киномания	22798006	4
MDK	57846937	5
ЁП	12382740	6
Палата №6	56106344	7
Четкие Приколы	23064236	8
КиноКайф - Лучшие фильмы	58170807	9
Лайфхак	40567146	10
Чёткие приколы	31836774	11
Корпорация Зла	29246653	12
Шедевры кулинарии | Новогодние рецепты	43879004	13
Cook Good - лучшие рецепты	39009769	14
5 лучших фильмов	26750264	15
Не поверишь!	28477986	16
БОРЩ	460389	17
Красиво сказано . . .	26669118	18
Сарказм	36164349	19
Психология отношений	40498005	20
Империя Кино	48319873	21
Science|Наука	29559271	22
Убойный юмор	30179569	23
Достойные фильмы	33769500	24
Команда ВКонтакте	22822305	25
Лучшие стихи великих поэтов | Литература	38683579	26
Vine Video	57876954	27
90-60-90 | Спортивные девушки	39728801	28
Идеи дизайна интерьера	36184135	29
Наука и Техника	31976785	30
Бот Максим	135209264	31
Убойные приколы :D	34491673	32
Лепра	30022666	33
Улетные приколы	22741624	34
YUMMY - лучшие рецепты	48946342	35
Школа красоты| Бьюти БОТ	45064245	36
Bon Appétit | Лучшие рецепты	32194285	37
Я тебя хочу	43776215	38
Действительно смешно  :]	23243883	39
Салон красоты	34757875	40
Трахни Нормальность	23433159	41
анекдотов.net	22222333	42
Психология	55662720	43
Леонардо Дай Винчик	91050183	44
СМС приколы	25554967	45
Книга Рекордов	65662695	46
40 КГ	28627911	47
Наука и Факты	34118551	48
Новогодние рецепты Повара	18464856	49
Шедевры рукоделия	43688579	50
ОСТРОУМНЫЕ	41807730	51
Шутник	45608667	52
Популярная музыка	35983383	53
Я хочу...	36008740	54
Смешно До Боли ツ	33159467	55
Музыка	34384434	56
5 умных мыслей	24713873	57
0% жирности	35486195	58
NR / НОВЫЙ РЭП	29573241	59
♥ Открытки	28890647	60
Идеи вашего дома	32439535	61
Оптимист	39410028	62
Хитрости жизни	76314525	63
Краткие факты	75149440	64
Современная Девушка	32477579	65
КТО сверху	68895020	66
PARTY HARD (gif &amp; video)	45960892	67
4ch	45745333	68
Сарказм	26030283	69
Лайфхакерша | Женские Хитрости	23245066	70
Фабрика идей	43772432	71
Рецепты: вкусно и просто🍴	46117626	72
5 интересных фактов	25346844	73
Fashion - мода и стиль	28646177	74
Эгоист	35061290	75
Это интересно!	23390361	76
Лепрозорий	65960786	77
IGM	30602036	78
Подслушано	34215577	79
Фильмы	40335272	80
Заброшенное	133668394	81
ИДЕИ для творчества	68229174	82
Омар Хайям и другие великие философы	45588871	83
История Человечества	79483347	84
Книга рекордов	78388911	85
Кинолюбители - Лучшие фильмы	48868052	86
Необычный Гороскоп	23830580	87
Улыбнуло :D	39822792	88
Психология	86218441	89
• Неприличные Анекдоты	28878216	90
Записки шеф-повара	48618580	91
Маникюр | Ногти | Педикюр	126100310	92
Характер	55156099	93
Чёрный юмор	40800148	94
Овсянка, сэр!	66678575	95
Я фотошоплю как кретин	75338985	96
Словарный запас	33338722	97
Smart - умный журнал!	47679753	98
Телеканал ТНТ	48512305	99
Готовим дома: вкусно и просто	40020627	100
Идеи для творчества и подарков своими руками	31805219	101
Хитрости жизни	62122883	102
НОЧЬ	25189523	103
Школа? Не, не слышали	26147450	104
Маникюр | Ногти	46509740	105
Психология тишины	41883468	106
Just love	28293246	107
Идеи для жизни	71239327	108
Кулинарное искусство	47118092	109
Мужские мысли	25397178	110
Тысяча чертей, какая татуировка!	26776509	111
Вдохновение.	25421850	112
Академия Порядочных Парней  👑	45595714	113
Любовный Гороскоп	30318830	114
Лайфхакерша	125770269	115
Уроки красоты | Маникюр 🌸 Прически 🌸 Макияж	107019848	116
Школа ремонта	38379853	117
Ты на понтах, я на каблуках.©	36166073	118
Модная девушка	36085261	119
MARVEL/DC	32370614	120
Я тебя люблю	32432151	121
Я тебя люблю	68114884	122
Злой Гений	39153701	123
ПЗДЦ	28261265	124
Город Грехов	31177966	125
История|History	53782768	126
Best Video	63758929	127
Интеллектуальный юмор	28950133	128
Прически | Стрижки 💇 Окрашивания	126100569	129
Великие Слова | Цитаты и Афоризмы	23170931	130
Новинки кино	56176916	131
Новогодние Рецепты	34451036	132
А ты знал?	149500863	133
AliExpress по-русски	36941068	134
Лайфхакерша	109331971	135
5 кратких фактов	86284414	136
Убейся Позитивом 😅	24299135	137
Салон красоты	32922940	138
Женская Философия	34308709	139
Сделано человеком	105736223	140
Спортивная	26614831	141
♥ Внешность - на время, Душа - навсегда ♥	26179938	142
Клубная музыка	22866546	143
Сарказм	63012929	144
Секреты красоты	49591829	145
Школьные истории	98075100	146
Анекдоты	29103840	147
Без кота и жизнь не та ツ	32015300	148
• iFace	30277672	149
Интересные Факты	346191	150
СМС приколы :D	30532220	151
Цитаты и статусы	23164653	152
Шедевры рекламы	29302425	153
Вслух	56048543	154
Взрыв Мозгаツ	75686365	155
Мир красоты	34981365	156
Дзен	23213239	157
Брат, только держись! Новый Год 2018	32194500	158
ПОЗОР	71729358	159
♔ Счастье | Новый год 2018 ♔	23337480	160
Корпорация Юмора ツ	23537466	161
E-squire	24098496	162
LIVE	2158488	163
Книга рекордов | Шок	34543413	164
Кулинария: вкусные рецепты 🍒	42092461	165
Словарный запас (EN)	149653328	166
Игры ВКонтакте	78616012	167
Психология о жизни	31478728	168
Анатомичка	133726577	169
AUTO	23783750	170
Институт Благородных Девиц	44781847	171
Цитаты и Книги	31752409	172
Искусство реальности	26307864	173
Мир Кино	48928605	174
Say 13 - Музыка 2017	29078047	175
Психология Джокера	29843454	176
MDK	23148107	177
Иллюзионист	127090395	178
улыбнуло	23378353	179
Мои аудиозаписи	105999460	180
theend.	23308460	181
Я в шоке!	28761941	182
Дома не поймут	49439086	183
ЛЮБОВЬ	36318299	184
Современная мама	55074079	185
Словарный запас (EN)	34305040	186
Простые рецепты	83935640	187
Пикабу	31480508	188
Спортхакерша	128350290	189
Правильные Мысли	34229261	190
LOOKBOOK	34378493	191
Just Cook	32509740	192
ИДЕИ	36326284	193
На Случай Важных Переговоров	12353330	194
Сделай сам!	46619709	195
Макияж | Косметика 💄 Идеи и уроки	126100393	196
Идеи татуировок	34010064	197
Я тебя хочу	35555977	198
Романтика и декор своими руками	35059398	199
Discovery	25117353	200
ЗШ  Мульт БОТ 🔥	45045130	201
Официальные страницы ВКонтакте	22079806	202
Смотри, что я нашел на AliExpress	96457590	203
Злой Чаплин	92581206	204
Just Video	51189706	205
Новая Музыка 2017	29258893	206
Больше, чем просто строки	32651025	207
Практическая психология	62398004	208
Реально смешно	94255146	209
Kaif ♔	42574198	210
Маникюр | Ногти	35762179	211
Зацени, что я нашел на AliExpress	101436686	212
Дизайн &amp; Декор	51696572	213
Cook it! - вкусные рецепты	32231484	214
НОВИНКИ КИНО 2017	90253744	215
Худей вкусно	35113021	216
